Bundle_Price,Units_Sold
433.8,34
289.29,97
462.87,160
334.16,159
371.67,52
194.93,88
232.09,75
211.59,26
495.94,78
488.82,149
266.61,143
417.97,142
193.41,158
361.68,40
298.45,120
209.6,185
233.93,64
199.02,102
154.4,80
384.44,106
410.3,177
443.24,179
227.11,102
252.01,137
392.36,176
445.15,72
201.44,197
119.94,41
443.08,51
343.23,155
472.55,12
75.39,110
73.51,75
290.98,113
134.18,194
495.73,21
51.09,124
347.8,113
401.31,49
248.13,18
452.81,102
149.36,144
498.37,26
143.15,35
327.11,147
472.39,150
270.93,158
261.89,31
439.93,21
441.02,86
401.49,126
342.05,184
109.24,124
495.14,76
244.67,121
138.15,39
379.7,182
179.22,80
242.47,111
175.07,199
404.34,34
432.7,186
306.3,46
226.73,133
172.92,75
401.48,50
164.75,81
187.71,104
357.68,89
330.48,150
130.45,31
498.89,174
345.31,152
385.6,119
149.92,12
491.8,7
307.58,112
321.45,145
137.93,91
453.38,13
189.66,144
251.81,59
58.73,139
159.12,122
226.8,92
124.58,14
490.35,61
219.83,57
140.51,21
294.06,48
215.33,137
215.85,112
462.72,158
387.5,98
254.97,126
131.6,121
378.24,46
60.59,143
188.12,135
77.08,166
93.67,79
211.76,112
443.92,177
125.93,181
161.45,99
188.41,131
338.3,99
437.61,84
474.23,74
106.8,140
99.26,55
230.51,39
79.25,199
461.46,60
322.53,52
250.55,157
273.77,15
375.82,68
463.89,24
126.44,138
86.74,128
230.97,196
95.62,114
387.53,163
469.43,5
188.65,112
323.83,182
273.54,33
336.32,149
207.54,168
397.98,7
96.79,158
119.25,194
175.58,73
291.38,159
160.17,103
334.35,120
369.21,73
280.8,162
237.13,110
423.89,68
286.16,120
162.69,82
476.55,195
387.06,104
231.76,188
477.29,121
455.81,75
207.44,151
83.48,22
418.93,174
85.69,175
93.82,10
419.12,128
479.93,22
139.77,177
487.21,62
459.78,137
247.96,120
249.21,95
405.31,3
350.61,150
61.36,16
404.58,131
308.26,115
129.09,29
